budget,revenue,content_score,user_score,genres,director,release_year,release_month,release_day,release_weekday,run_time (in minuts),title,url
28000000.0,38159905.0,100,61,"Comedy,Drama,Family,Fantasy,Romance",Mark Blackwell,2006,5,12,4,103,Just My Luck,https://www.themoviedb.org//movie/10025-just-my-luck
5000000.0,84563118.0,100,72,"Action,Adventure,Drama,Thriller",Ronald Neame,1972,12,13,2,117,The Poseidon Adventure,https://www.themoviedb.org//movie/551-the-poseidon-adventure
28000000.0,52597999.0,100,61,"Action,Drama,Thriller",Luc Besson,2014,2,14,4,113,3 Days to Kill,https://www.themoviedb.org//movie/192102-3-days-to-kill
nan,15793051.0,100,78,Drama,Ken Loach,2016,10,21,4,100,"I, Daniel Blake","https://www.themoviedb.org//movie/374473-i,-daniel-blake"
nan,nan,21,0,Documentary,Michele Coppari,2021,11,17,2,nan,La Montagna di Ilio,https://www.themoviedb.org//movie/887523-la-montagna-di-ilio
6000000.0,1752988.0,100,41,"Drama,Romance",Tommy Wiseau,2003,6,27,4,99,The Room,https://www.themoviedb.org//movie/17473-the-room
45000000.0,82800000.0,100,58,Thriller,Joe Forte,2006,2,10,4,105,Firewall,https://www.themoviedb.org//movie/9754-firewall
46000000.0,150000000.0,100,73,"Science Fiction,Action,Adventure,Thriller",Ronald D. Moore,1996,11,22,4,111,Star Trek: First Contact,https://www.themoviedb.org//movie/199-star-trek-first-contact
9070000.0,nan,100,72,"Drama,Action,Thriller",Yoon Sung-hyun,2020,4,10,4,135,Time to Hunt,https://www.themoviedb.org//movie/571785-time-to-hunt
nan,nan,100,69,"Romance,TV Movie",Marlene McPherson,2017,12,23,5,84,Christmas Getaway,https://www.themoviedb.org//movie/480623-christmas-getaway
